index,target,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128
10,suzann,0.0268109,-0.0573305,0.0816778,-0.0152753,-0.0193436,-0.00880568,0.016674,-0.0346148,0.05615,-0.0461121,-0.0303127,-0.0400366,-0.0413015,-0.0330491,-0.00227474,0.016184,-0.0252413,0.0323135,0.0425113,-0.0837231,-0.0425817,-0.0135237,-0.0777712,0.0482441,0.0194869,-0.0394521,-0.02645,-0.00919771,-0.0380585,-0.0207651,0.0862536,0.0146956,0.00361176,-0.0740589,-0.0196593,-7.95E-05,0.0288584,0.0588032,0.0471168,-0.015773,-0.0300407,-0.0237373,0.00970555,-0.0329637,-0.0415353,-0.106911,0.0300018,-0.0368577,0.00332729,0.0176918,-0.0480255,0.0580797,-0.0121798,0.0441788,-0.00639356,-0.0399701,-0.0111653,-0.00457419,-0.0475894,-0.0498036,0.0460265,0.0330938,0.0121498,0.0583971,0.0144778,-0.0127263,-0.00356415,-0.00843616,0.027542,-0.0381527,0.0693801,-0.0285393,0.0616209,0.032201,0.0608118,0.0244201,0.0119105,0.0263899,-0.0750939,0.0691362,-0.071685,0.00983031,-0.0202716,-0.00590998,-0.0631117,0.0284184,-0.0118414,-0.0971783,0.0639497,-0.0376283,-0.0657733,-0.0368761,0.037653,-0.0321596,-0.0210571,-0.0233004,-0.0186684,0.0356061,-0.0699531,-0.00922249,-0.0651313,-0.03228,0.0683516,-0.00359501,0.0713185,-0.00763472,-0.0499454,0.0269336,-0.0487252,-0.0265558,-0.0157825,0.00771592,0.0758151,-0.0485487,-0.0355983,-0.000351334,0.0137112,-0.0178294,0.00855374,-0.0277498,0.0713592,-0.0122585,-0.0172769,0.0858332,0.0202728,-0.0159672,0.00506916,0.0345701
11,francesco,0.0126665,-0.100685,-0.0167513,0.00836149,0.0049823,-0.0648872,-0.0599556,-0.0259717,-0.0141914,-0.0313062,0.00629448,0.024707,-0.00890292,-0.0110662,0.0219271,0.0518062,-0.0089877,-0.0114789,-0.0673981,-0.0489254,0.00242708,-0.0385529,-0.0629,-0.0191579,0.029322,0.047344,0.00214215,-0.0250103,-0.0385433,0.0617715,0.0301445,-0.0209397,0.05548,-0.0016987,-0.0158625,0.00589683,0.0215061,-0.018406,0.0196882,0.0123488,-0.0471237,-0.0154985,-0.0128126,-0.0340786,0.0385933,-0.0419714,-0.0780501,-0.0223914,-0.0424407,0.0151714,0.0062897,0.0329923,0.064059,-0.00872142,-0.0428915,0.00191868,-0.0135983,0.0351839,-0.0318681,-0.0386234,0.0438322,0.049254,0.000927852,0.00239096,0.0364987,0.0431811,-0.0101587,-0.00246067,0.00768185,-0.00773363,-0.0351213,0.00256872,-0.00433385,0.0263622,0.0127342,0.0281286,0.0846607,-0.0306672,-0.0625896,0.0336459,-0.0537681,-0.00818124,0.00181095,0.030199,-0.00212509,-0.022969,0.0306848,-0.019746,-0.00951356,-0.0312935,0.0355403,0.0104237,0.0506462,-0.0736935,0.00515551,-0.0366967,-0.0122159,-0.00530906,-0.0252764,0.0637097,0.0643431,0.0570185,0.02249,0.0165928,-0.0555579,0.0298404,-0.0213124,0.0412529,-0.00933487,0.030697,0.0171555,-0.0255005,-0.00114027,-0.05875,-0.000287731,-0.0374648,-0.019948,0.039602,0.0476327,0.0409214,0.00904007,0.0214537,-0.0574376,0.0398475,-0.0167403,0.0303698,-0.0178878,0.0207441
12,francesca,-0.000131707,-0.0107285,0.00575746,0.00782787,-0.00194442,-0.00152729,-0.00539089,-0.00612957,0.0161893,-0.0197101,0.00771842,0.00563959,-3.89E-05,-0.00551948,0.0116029,-0.0180047,0.0044137,-0.000162251,0.00934258,-0.000187179,-0.0113743,-0.00285278,0.00459932,0.00373689,0.0160175,-0.00458724,0.00184523,-0.00354689,0.00158363,0.00601202,0.0100575,0.003738,0.0133447,-0.0276885,0.00247012,0.00183892,-0.00999359,-0.00401073,-0.00793008,0.00537358,-0.0069951,-0.00453727,-0.00438377,0.000925144,0.00236095,-0.0277945,-0.00653562,-0.00269127,-0.0109803,-0.00631627,-0.00859692,0.0139395,0.00379148,0.000470358,-0.00370416,0.00337994,-0.0100997,0.0106135,0.0115672,0.00152485,-0.00258883,-0.00288769,-0.00220381,-0.00109761,-0.00429489,0.003974,0.00708246,-0.00721803,-0.000851385,0.00102902,-0.00251413,-0.0195648,0.00924578,0.00572629,-0.00435969,0.0224189,0.0050287,-0.00861621,-0.0154438,0.00785791,-0.014217,0.00344516,0.00920853,0.0227579,-0.00457497,0.0138909,0.0114314,-0.0107515,-0.000658784,-0.0264254,-0.00259968,-0.00943041,0.00392346,-0.0131805,0.0116336,0.00272065,0.000500287,0.00667446,-0.00431505,0.0045279,0.00502608,-0.00617053,0.00407879,0.0136074,0.000229438,-0.00183903,-0.00679124,0.0115552,-0.000186703,-0.00809593,0.00412157,-0.00281231,-0.00152182,-0.0155769,0.00924554,-0.00722055,0.011869,0.00830304,-0.00608844,0.00481963,0.00850147,-0.00323721,-0.00637622,0.00509821,0.00267712,-6.33E-05,-0.00452793,-0.0128581
13,diamondshap,-0.0445164,-0.000422702,-0.00447664,0.00134647,0.0159088,0.00280035,0.0122188,-0.00323131,0.0275922,-0.00829912,-0.00152694,-0.0219069,0.0149064,0.0276196,-8.73E-05,-0.0101754,-0.0136371,0.00290348,0.0100196,0.00752289,-0.0128862,0.0467327,0.0181553,0.0242569,-0.0325111,0.0180617,-0.00941448,-0.0380798,0.0352854,-0.0106964,-0.0103774,-0.0103215,0.00969061,0.0218769,0.00856864,0.0334629,0.0099946,-0.035423,-0.012215,-0.0133515,0.0405147,0.0246677,0.00981977,0.0147418,-0.0111522,0.0352113,0.00988123,0.021258,0.026467,0.0306112,0.0405358,-0.0562726,-0.0120653,0.0198914,0.0151806,0.0397087,0.0529069,-0.0350549,0.0204016,-0.0214342,-0.014853,0.0407859,-0.0286381,-0.0234122,-0.013345,-0.0150091,-0.0135811,0.0405679,-0.0115339,0.0088824,0.0340199,0.0320784,0.00829728,0.00293662,-0.0207231,-0.00950882,-0.0332341,-0.0018562,-0.00376128,-0.042738,0.0347969,-0.0119053,-0.0417797,-0.00373232,-0.00373095,0.000925228,-0.0373203,0.0124385,-0.00371374,0.036461,0.0168194,0.0019618,-0.0385443,0.00286843,0.0102604,-0.0177436,-0.0219927,0.0263404,-0.00755036,-0.0347461,-0.022611,0.0154437,-0.0312525,-0.00639495,0.000608443,-0.00311854,0.029245,-0.0285077,-0.00444632,-0.0237878,-0.00245485,0.0152403,-0.0170784,0.0414839,0.0113015,-0.0206244,0.0156264,0.0276609,-0.00363271,-0.00713934,-0.0757471,-0.0358855,-0.00442837,-0.0166953,0.00835339,-0.0107359,-0.0012039,0.00641976
14,moremasculin,-0.0015,0.0033381,-0.00608293,-0.00495456,-0.00186656,0.000178505,0.00205933,-0.0155397,0.000887188,-0.000561394,-0.00581771,0.0115621,-0.00542032,-0.00660335,-0.00419748,0.00143199,0.0123896,0.00077813,0.0018059,-0.00428407,-0.00229569,0.0066759,0.0122338,0.00781064,-0.000296761,-0.00457101,-0.00233972,0.0115898,-0.00185075,-0.00827435,0.00403622,0.00611612,0.00939987,-0.00967504,-0.00504601,0.00138642,-0.00185798,0.00100334,0.0125581,0.00719641,-0.00208687,0.00409645,0.00478234,-0.00210213,0.0035373,-0.0132241,-0.00493838,0.0232869,-0.000949581,-0.00335172,-0.011153,0.00614956,0.00733563,0.00306274,0.00163506,-0.00134461,-0.00685469,0.00702996,-0.000544077,-0.000961564,0.000247447,-0.000526773,0.00651885,0.007262,-0.00194355,0.00979563,0.0032638,-0.00781462,0.00767716,-0.00464422,-0.0111122,0.0022062,-8.46E-05,0.00452782,-0.00175349,-0.0119814,-0.00141685,0.0157351,0.00391932,0.00304771,-0.00325775,0.00138143,0.00558157,-0.00273288,0.00296519,-0.0102754,0.0130245,-0.00692631,0.000131345,-0.00207409,0.00267066,0.00298224,-0.00730232,0.00995028,-0.00346467,0.009163,-0.00399903,-0.00530158,0.00263243,0.00229869,-0.00453936,-0.0169033,-0.00201492,-0.0142359,0.0103335,-0.00454622,-0.00686333,0.0119697,0.00984273,0.00231462,-0.00706751,-0.0017576,-0.000582731,0.00115752,-0.00541369,-0.00076686,-0.00157573,-0.0093081,-0.00669007,0.00258949,0.00679042,-0.000190608,-0.00530048,0.00847989,0.00189218,-0.015645,-6.36E-05,0.00484828
15,considerablynot,-0.00114316,0.00214141,-0.00101818,0.000566692,0.00646903,-0.00058562,5.39E-05,-0.000963824,-0.000252947,-0.00361746,0.00590143,0.00470767,-0.00369141,0.004417,-0.00116384,0.00302781,0.00286237,0.00173589,-0.00245896,0.00529401,0.0014082,-0.0048458,-0.006299,-0.00714235,-0.00235957,0.00337015,-0.00151546,0.00160812,-0.005571,0.00136928,-0.0046092,0.000539552,0.00450159,-0.0075917,0.00052389,-0.00253868,0.000214125,0.00596201,0.00652177,-0.00481795,-0.000473375,-0.000287304,0.00107844,-0.00467114,-0.00213924,-0.00632884,0.000513516,-0.00227606,0.00314757,-0.0023366,0.0023622,0.00150827,0.00246091,0.00228993,-0.000139576,-0.00413339,-0.00281425,0.00441321,-0.00862922,-0.000651238,-0.00239823,-0.00115456,0.00122674,0.00584276,0.000711473,0.000637293,-0.00611255,0.00350511,0.0107399,-0.00430322,-0.000585704,0.00188622,0.00226724,-0.00271487,0.00143711,-0.0118899,0.00502439,0.00389953,-0.0115011,0.00484817,0.00329073,0.000768595,0.00256173,0.00607874,0.00130452,0.000805794,0.00337419,-0.00199903,0.00425932,-0.00357675,0.0025094,0.0027339,0.00363932,0.00663607,-0.0065455,0.0076754,-0.00645439,0.0021693,0.00864247,0.00972234,0.00688813,-0.00556224,0.00182635,-0.00285218,0.000391661,-0.0128321,-0.00503158,0.00438892,0.00499907,0.00793084,-0.000843161,0.00771874,0.000664343,-0.000948497,0.000485485,-0.00101697,0.00212634,0.00472975,-0.00141652,0.000141823,0.00185994,0.0017038,-0.00299686,0.000931468,0.00264514,0.00297341,-0.00384655,0.000603734
16,bladea,0.00808465,-0.0114815,-0.00517831,0.00419615,0.000676341,-0.00199095,0.00379746,0.00528162,0.00389499,-0.00873247,-0.0173542,-0.00385741,0.0029667,-0.00193873,-0.0104324,-0.00386569,-0.0150204,0.00571415,0.000200234,-0.0061448,-0.00745808,0.0068575,0.00496068,0.00357734,-0.00277058,-0.0022234,0.00962396,-0.00787971,0.00661773,0.00474094,0.00067775,-0.00294622,-0.00142009,-0.00794485,-0.00878854,-0.00195492,0.000846885,0.00246544,-0.00851595,0.0151176,-0.00584888,0.00319096,0.000419405,-3.98E-05,-0.00138594,-0.0133439,0.00573711,-0.00931836,-0.00796519,-0.00684682,-0.0109968,0.00200309,0.00543813,0.00359201,0.00567007,-0.00810332,-0.00990091,0.00631059,0.00873443,-0.00580184,0.00824311,0.00278841,-0.00182523,-0.0146474,0.00496612,-0.00193717,-0.00134505,0.00192418,0.00247405,0.0012676,-0.00220237,0.00633678,0.00204661,0.000225475,0.00020068,0.000368666,-0.00380724,-0.00913872,-0.00569267,-0.0043825,-0.00605967,0.00707761,-0.00201732,0.000948301,-0.0088414,-0.00908393,0.00318651,-0.00197643,0.00619627,-0.00823001,-0.00475523,-0.0125349,0.000380787,-0.00665257,-0.00684562,0.00403193,0.00315777,0.0138589,0.00341959,-0.0109064,-0.0133253,0.00641812,0.00317947,0.00192375,-0.0081867,-0.00358138,-0.00114855,-0.00467227,0.0045808,0.000235738,0.00296276,-0.00701835,-0.00130312,-0.0126972,0.00727237,-0.000673664,-0.000985619,-0.00351765,-0.00175975,0.00306513,-0.00444682,0.0127828,0.0158647,0.00723435,-0.0078659,0.0176044,0.00339044,-0.00169885
17,bubbleesqu,0.00256959,-0.00286595,3.39E-05,0.0013712,-0.00450865,-0.00275891,0.00174643,0.00236652,-0.0020384,0.00276056,-0.00333307,0.00287217,0.00130453,0.000562834,-0.000101502,0.0017562,-0.00275847,0.000223384,0.00252749,-0.00265738,-0.00343666,-0.00261288,-0.000732753,-0.000492433,0.00438743,-0.00496649,0.00354669,0.00381741,-0.000572322,-0.00103536,-0.00150255,-0.000370955,0.000742112,0.000451869,0.0020893,0.00200879,-0.00273861,0.00177589,-0.003387,-0.000916018,0.000239339,0.000452209,-0.00301344,0.000736357,-0.00194803,0.00329147,-0.00344871,0.00208038,-0.00200127,-0.00355759,-0.00171697,0.0010569,0.0038044,-0.00445863,-0.00340107,0.00241925,0.00345715,0.00273934,0.00246039,-0.00123872,0.000694304,-0.000431731,0.000935574,-0.00106189,-0.0032548,-0.00162662,-0.00200416,-0.00232843,0.00170597,0.00238557,0.00238775,0.00272038,0.00190067,-0.000610498,-0.0020632,-0.00160606,-0.00202362,-0.00361936,0.000268345,0.000760092,0.00288696,-0.00300045,0.000247702,0.00254797,0.000817999,0.00168841,0.00219846,0.00431087,0.00474086,0.00170707,-0.000316014,-0.0013284,7.44E-06,5.17E-05,-0.00330341,0.0011265,0.00312505,-0.00288862,0.00231055,-0.0028529,0.00311464,-0.00377326,0.00235856,0.0018654,-0.000950197,-0.00303542,0.00108264,-0.00212397,-0.00153565,0.00394143,0.000998174,0.00263144,-0.00305913,-0.00147125,0.000649616,0.00289439,-0.00356218,-0.00424451,-0.000453598,-0.000918668,-0.00135875,-0.00119039,-0.000567656,0.00110558,-0.00192877,0.00335852,-0.00328339,0.00238988
18,scold,-0.00107251,-0.000338927,-0.00617221,0.000597342,0.00227978,0.00296193,0.00528745,-0.00275312,-0.00415034,0.00530611,-0.00414714,-0.00223083,-0.00111502,0.00518681,0.0013158,0.00261921,0.00131086,-0.00146395,0.000755046,0.000949369,0.000401264,-0.00133099,-0.00373563,-0.00534005,3.51E-05,0.00350504,0.0038632,0.0011475,-0.000715574,0.0073692,-0.00337254,-0.00132424,0.00288997,0.00104396,-0.00238239,-0.00241279,-0.00184614,0.000375079,0.00872362,-0.00444495,0.00166491,-0.0044912,-0.000266763,0.00276393,-0.00622725,-0.000484973,-0.00255729,-0.00512023,-0.000575494,0.0042344,-0.00189868,0.0044121,0.000841109,-0.00341876,-0.000965201,-0.000781708,-0.0020689,-0.00719719,0.00178118,-0.00273215,6.02E-06,-0.00179892,0.00619717,0.000587879,0.00443283,-0.00210717,0.00324532,0.0122824,0.000849076,-0.00502972,-0.00258062,0.00538591,0.00893599,-0.000788127,0.00150799,-0.00343068,0.00512059,8.23E-05,-0.00746049,-0.0039599,0.00351364,-0.0015714,-0.0029857,0.00473212,0.00319482,0.00261666,-0.00472818,-0.000114161,-0.00109139,-0.00581096,-0.00385016,-0.00204752,-0.00613453,0.00468699,-0.00479099,-0.00185821,-0.00781939,0.00640832,-0.000502126,0.011079,0.00159107,-0.00271507,0.00204345,-0.00821696,-0.00250434,-0.00109502,-0.00715172,0.00405417,0.00506686,0.00510456,-0.0090577,0.00494857,0.00504982,0.0027115,0.00598586,0.000981286,0.00440509,0.00503476,0.000646386,0.0027867,0.00651721,0.00141294,-0.00695679,0.00145289,0.00399943,0.0048028,-0.00449768,-0.00148839
19,accret,0.000715633,0.00859049,-0.00292529,0.00534102,-0.00220716,0.0057723,-0.000998722,0.00399151,-0.00206273,0.00592686,0.00697368,0.00755413,0.00353792,-0.00550107,-0.00273448,-0.00329569,-0.0043073,-0.00271327,-0.00281248,-0.000734993,0.000222289,-0.000457137,0.00459423,-0.00290895,-0.00816232,0.00103965,-0.00167571,-0.00404485,0.00186465,-0.00630722,-0.00113978,0.00243413,-0.00528097,0.00835688,-0.00639117,-0.00313342,0.00243415,-0.0042026,0.00790247,0.00333566,0.00282828,-0.00456034,-0.00320996,0.00058775,0.00348939,0.0109213,0.0048531,0.006243,0.00601214,-0.00223769,-0.0020731,-0.00229755,-0.00758733,0.00328287,0.012679,-0.000504626,-0.00163121,0.00145094,-0.00309707,0.0102878,0.00107999,-0.0085821,-0.00546327,-0.0021964,-0.0029708,-0.00288734,0.000509002,-0.00151312,0.000255429,0.00267092,0.00313973,0.00146227,0.00245208,0.00249255,0.00860463,-0.00268371,-0.0036034,-0.00283459,0.0146619,0.00369336,0.00777822,0.000908139,0.00494398,-0.00167975,-0.000903686,0.00603237,-0.0017089,-0.00172249,0.001608,-0.00513551,-0.001419,-0.00110988,0.00178879,0.00171388,0.00210824,-0.000748397,-0.00419096,-0.00537069,-0.000782588,-0.004737,-0.000877882,-0.00335949,0.00579557,-0.00276777,-0.00126716,0.00268524,0.00886937,-0.00924619,-0.00112773,-0.00670576,0.00640314,0.00313857,-0.00212516,-0.00455893,0.00145863,0.0117027,-0.0117942,-0.0167451,-0.00417061,-0.00343717,-0.000912238,-0.00206066,0.00195143,0.000585387,-0.00136516,-0.005171,0.00401296,0.000331601
